utt	filename	text
1001_2680_32680	1001_2680_32680.wav	应该是吧因为我又来吃自助啦只要吃得下海鲜烧烤川菜粤菜水果甜品饮料多达三百多种菜品随便吃一来都要整最贵的现切三文鱼吃得出来的品质白灼虾新鲜口感泰式肉蟹味道正宗现煎牛排现烤生蚝现切的烤鸭还有各种刺身螃蟹爬爬虾扇贝花甲每样来上一大盘不在话下木瓜炖雪蛤小米哈其中竟然还有我最爱的大闸蟹虽然那三样是限量的但是吃一份儿我觉得都够了外面三十多一个的哈根达斯也不限量
1001_32680_36230	1001_32680_36230.wav	限量我随随便便吃个四小今天又是吃垮自助餐老板的一天
1005_360_29380	1005_360_29380.wav	你请我吃了那么多顿饭今天我也请你吃顿自助嘛快走快走我的大胃王朋友今天请我吃了一家全重庆性价比最高的自助餐只要三块钱啥子藕丁儿黄瓜四季豆儿萝卜丝豆干儿苦瓜还有各种各样的韩菜多达十几种菜品随便吃不限量唯一限制都是稀饭只能吃一碗三块钱你买不了吃亏买不了上当但是你可以吃一顿自助餐好了我实在是编不下去了今天又是被大胃王朋友套路的一天
1009_0_19830	1009_0_19830.wav	这边重庆一百家小面第三十六家关卡很出名的刀削王一到饭店都是人山人海的一家店还好我是错峰来的我一般第一次到一家店都喜欢点他们的招牌所以在那家都点了他们的肥肠刀削二十五一碗挺贵的上上桌的那一刻我都觉得自己被坑了他们家素刀削现在已经是涨价了七块钱就相当于那
100_0_3170	100_0_3170.wav	到武汉怎么可以不吃三鲜豆皮呢
1012_0_4110	1012_0_4110.wav	愉快的假期万州我来了下高铁的第一场肯定要吃万州这个呀
1013_0_30000	1013_0_30000.wav	如果我哪天有钱了我也想买那种三层小独栋上下楼都还有电梯可惜我没钱呐所以只有进去吃顿饭了那是一家从云阳来的私房小厨食材大多是从云阳运过来的绿色生态有机菜泰式烤片儿鱼是你在别的地方吃不到的味道因为腌制的调料是他们家独家秘制的云阳运过来的黑山羊蹄和小香猪羊蹄皮糯又有嚼劲儿香辣口味儿完全满足了重庆人的喜好小香猪吃起很糯即使是肥肉也不伤人
1013_30000_40520	1013_30000_40520.wav	当然像煲汤一样的梅菜扣肉那造型也太有创意了吧入口即化不仅好吃还下饭还有超大个的筒子锅记得用搭配的吸管儿吸骨髓
1014_0_5810	1014_0_5810.wav	这边重庆一百家小面第三十三家洋河路超火的一家面馆下午三点钟来还有那么多人
101_0_29840	101_0_29840.wav	都是说一边看轻轨一边吃火锅本重庆人竟然也是第一次体验都在佛图馆轻轨站附近的那家火锅店靠着三层马路的独特地线可以超近距离的看到轻轨府校和绝美江景他们的火锅也是很传统的九宫格火锅锅底都是自家炒的为了让大家能更直接的体验九宫格连他们的装菜盘都是按九宫格形状来定的最高了是个小个憨菜边边是个大个煮菜中间那个是用来烫菜的再点上一份在桌子边现炸的酥肉一边吃着火锅一边看着美景也是惬意呀
1021_0_2630	1021_0_2630.wav	吃遍重庆一百家小面第三十二家
1022_0_19180	1022_0_19180.wav	每次到南山吃火锅儿都觉得自己像在逛公园儿闪闪的大树七彩的瀑布可以许愿的三百天还有超适合拍照打卡的星星花们点上一桌火锅儿欣赏着这片夜景空气中散发的都是浪漫的味道嗯当然还有火锅儿的香味儿他们家的锅底都是现炒的味道是属于偏麻辣种新鲜的
1028_0_3280	1028_0_3280.wav	想当年在公司录角第一次吃到贵州的
1029_0_7410	1029_0_7410.wav	逃离三十九度的重庆来到二十五度的武陵山那一片草坪山峰随便打
1029_15880_20610	1029_15880_20610.wav	整个包裹这是个啥子友情提示上来的记得带厚衣服哈晚上真的很冷
102_0_26330	102_0_26330.wav	老板七八八一只的烤全羊是种了好多年的哦那个乱说我们全部都是在河阳现杀现烤而且七八八是吃这么大一种我竟然在花果园找到那么相应的烤全羊现在的老板真的是疯了只要七八八都可以吃到一只三十五斤的样子都是用的活的内蒙雪山羊现杀现烤还送一只烤鸡和烤鸭两个羊杂汤锅两份羊肝两份羊血和各种素菜连餐位费都是包了的如果有不喜欢吃羊肉的还可以试试他们的柴火鸡
1032_300_21410	1032_300_21410.wav	吃遍重庆一百家小面第三十家鸡公面据说是南平排名第一的小面二十四小时营业招牌都是那一碗鸡公面分量还是可以不像食堂阿姨哦不管是鸡肉还是面都给的蛮多的鸡肉吃起还是可以的不会很老很柴那种然后还有那种淡淡的中药香
1033_0_11200	1033_0_11200.wav	在广州拥有二十多艘渔船的鱼塘如来重新开店儿了以为是霸道总裁没想到是漂亮的小姐姐还现场教我怎么吃佛手咯长得还是很有特色的蘸上调料真的
1033_11690_15370	1033_11690_15370.wav	嗯大湖心情好美美呀以前只有去顺德才
1034_15240_24270	1034_15240_24270.wav	勇敢噻百里河真的好开人呐跳楼梯真的是勇敢者的游戏因为你连站上去都需要勇气所以敢耍你就多耍几次不敢耍的还是耍点温和的嘛
1034_6010_12380	1034_6010_12380.wav	我的妈呀我也不晓得我哪来的勇气竟然爬那么高来耍那个跳楼机跳下来之后真的是松了好大一口气
